date,title,author,tags,url
2020-03-10,Piráti s vládou probrali možnost ustavení dětských skupin během zrušené školní výuky a budou navrhovat rozšíření zákona o lobbingu,Mediální odbor,sněmovna legislativa celostátní koronavirus,https://pirati.cz/tiskove-zpravy/koronavirus-detske-skupiny-lobbing-temata-41schuze.html
2020-03-16,"Na programu vlády je kontroverzní novela vojenského zpravodajství, Piráti varují před ztrátou soukromí na internetu",Mediální odbor,celostátní vláda legislativa koronavirus,https://pirati.cz/tiskove-zpravy/internet-pod-dohledem-zpravodajcu.html
2020-04-02,Pirátský poslanec Lukáš Černohorský podává trestní oznámení na obchodního zástupce Huawei v kauze dezinfekce prostor MČ Prahy 8,Mediální odbor,koronavirus kontrola-moci-a-mocných,https://pirati.cz/tiskove-zpravy/trestni-oznameni-na-zastupce-huawei.html
2020-04-27,Komentář Ondřeje Profanta: Rámcové dohody MV ČR v současné podobě jsou jen pokřivením tržního prostředí,Ondřeje Profant,vláda vnitro,https://pirati.cz/tiskove-zpravy/dohody-mvcr-komentar-profant.html
2020-05-13,"Piráti varují před novým zákonem o zakázkách, hrozí malé domů do daňových rájů",Mediální odbor,legislativa kontrola-moci-a-mocných korupce,https://pirati.cz/tiskove-zpravy/danove-raje-verejne-zakazky.html
2020-05-14,Možnost nepřechylovat ženská příjmení podpořil garanční výbor,Mediální odbor,legislativa celostátní lidská-práva,https://pirati.cz/tiskove-zpravy/garancni-vybor-schvalil-neprechylena-prijmeni.html
2020-05-15,Piráti se postavili proti povinným sterilizacím trans lidí,Mediální odbor,zdravotnictví,https://pirati.cz/tiskove-zpravy/pirati-se-postavili-proti-povinnym-sterilizacim-trans-lidi.html
2020-06-15,"Digitální Česko 2020 – přelakovat staré projekty, nalít do nich stamiliony a nechat pracovat dobrovolníky není moderní řešení",Jan Lipavský,digitalizace vláda legislativa,https://pirati.cz/tiskove-zpravy/digitalni-cesko2020-vlada-lakuje-stare-projekty-za-stamiliony.html
2020-06-16,"IT zakázka za 450 milionů v resortu kultury, na kterou už v lednu upozornili Piráti, byla podle médií zmanipulovaná",Mediální odbor,sněmovna legislativa,https://pirati.cz/tiskove-zpravy/it-zakazka-450mil-kultura.html
2020-07-03,Po urgencích Pirátů zveřejní Český statistický úřad konečně data o registrovaných partnerstvích i četnosti jmen,Mediální odbor,sněmovna,https://pirati.cz/tiskove-zpravy/statisticky-urad-zverejni-data-o-registrovanych-partnerstvich.html
